sign	id	agew_n	heightw_n	weightw_n	want_dietw_n	want_diet_1	id_p_createdw_n	waistw_n	bmi_finalw_n	bmi_1	recentw_n	seoul	metropol	otherregion	company	worker	etcwork	gender	married	d1	d2	d3	d4	loss_up	loss_down	loss_both	d_purpose1	d_purpose2	d_purpose3	diet_food	diet_clinic	20_female	PG01
0	poca76	0.43	0.22	0.57	0.36	2	0.90	0.63	0.78	4	0.00	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0	1	0	0	1	0	1	0
0	yunsw	0.32	0.33	0.23	0.04	1	0.83	0.50	0.31	2	0.26	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	1	0	0	1	0	1	0
0	hei8941	0.97	0.22	0.10	0.08	1	0.00	0.38	0.20	1	0.27	1	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0
0	pooh781202	0.32	0.33	0.17	0.08	1	0.95	0.41	0.23	1	0.06	1	0	0	1	0	0	1	0	1	1	0	0	0	0	1	1	0	0	1	0	1	0
0	sjpak1221	0.38	0.61	0.33	0.40	2	0.17	0.38	0.29	2	0.83	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0
0	sukhk1	0.54	0.22	0.20	0.32	2	0.72	0.41	0.32	2	0.75	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	1	0	0	1	0	1	0
0	iconblue	0.59	1.00	0.80	0.88	4	0.00	0.75	0.55	3	0.25	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0
0	molru	0.27	0.50	0.27	0.16	1	0.30	0.41	0.27	2	0.36	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0
0	chiki95	0.43	0.33	0.13	0.08	1	0.68	0.13	0.18	1	0.38	1	0	0	0	0	1	1	0	1	0	0	0	0	0	1	1	0	0	1	0	1	0
0	ggoui	0.11	0.22	0.53	0.64	3	0.90	0.41	0.73	3	0.63	0	0	1	0	0	1	1	0	1	1	1	1	0	0	1	1	0	0	1	1	0	0
0	khkim7777	0.65	0.33	0.30	0.28	2	0.94	0.41	0.39	2	0.35	0	0	1	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	1	0
0	changhot	1.00	0.39	0.13	0.24	1	0.00	0.13	0.16	1	0.88	0	0	1	0	0	1	1	1	0	1	0	0	1	0	0	0	1	0	1	0	0	0
0	dok444	0.54	1.00	0.60	1.00	4	0.00	0.50	0.32	2	0.06	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
0	kkang8177	0.16	0.50	0.23	0.20	1	0.02	0.41	0.23	1	0.14	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0
0	moon9516	0.54	0.97	0.48	0.44	2	1.00	0.41	0.29	2	0.00	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0
0	wanttobe	0.27	0.83	0.10	0.12	1	0.00	0.25	0.00	1	0.24	1	0	0	0	0	1	1	0	0	1	0	1	0	0	1	1	0	0	1	0	1	0
0	tnwlsl0707	0.22	0.11	0.00	0.00	1	0.79	0.41	0.12	1	0.15	0	0	1	1	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0
0	just77	0.00	0.33	0.37	0.48	2	0.10	0.41	0.47	2	0.33	0	0	1	0	0	1	1	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0
0	hsmmi	0.43	0.50	0.20	0.32	2	0.56	0.25	0.19	1	0.95	1	0	0	0	0	1	1	0	1	0	0	0	0	0	1	1	0	0	1	0	1	0
0	ggbb11	0.38	0.00	0.00	0.00	1	0.00	0.13	0.33	2	0.18	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0
0	eunski	0.59	0.78	0.77	0.68	3	0.06	0.63	0.69	3	1.00	0	1	0	0	0	1	1	0	0	1	0	0	0	0	1	1	0	0	1	1	1	0
0	topitoo	0.22	0.61	0.00	0.08	1	0.00	0.00	0.00	1	0.76	0	1	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	0	1	0
0	alslalsl99	0.43	0.72	0.57	0.48	2	0.34	0.63	0.50	2	0.13	1	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	1	0	1	0	1	0
0	mr3535	0.70	0.00	0.23	0.08	1	0.00	0.63	0.61	3	0.82	0	1	0	1	0	0	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0
0	ring7756	0.11	0.50	0.10	0.08	1	0.02	0.13	0.07	1	0.59	1	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0
0	slove999	0.27	0.78	0.60	0.36	2	0.00	0.41	0.51	3	0.25	1	0	0	0	0	1	1	0	0	1	0	1	0	0	1	1	0	0	1	0	1	0
0	velvet78	0.32	0.72	0.20	0.16	1	0.82	0.00	0.09	1	0.17	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0
0	ssolsol	0.27	0.44	0.50	0.48	2	0.72	0.50	0.57	3	0.69	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0
0	nin6232	0.81	0.22	0.50	0.28	2	0.00	0.41	0.69	3	0.42	1	0	0	1	0	0	1	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0
0	i8i8i8i8	0.22	0.50	0.07	0.08	1	0.00	0.41	0.03	1	0.27	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0
0	tooya404	0.38	0.61	0.17	0.28	2	0.48	0.38	0.10	1	0.95	0	1	0	1	0	0	1	0	1	1	0	0	0	0	1	0	0	1	0	1	1	0
0	yhulla	0.16	0.61	0.27	0.40	2	0.79	0.38	0.21	1	0.38	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0
0	jongmi73	0.59	0.50	0.20	0.20	1	0.00	0.41	0.19	1	0.05	1	0	0	1	0	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0
0	anny2468	0.54	0.39	0.00	0.00	1	0.71	0.00	0.00	1	0.52	0	0	1	1	0	0	1	1	0	1	0	0	0	0	1	1	0	0	1	0	1	0
0	bada868	0.65	0.72	0.23	0.28	2	0.77	0.41	0.13	1	0.15	0	0	1	1	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	1	1	0
0	aromatic	0.27	0.89	0.20	0.28	2	0.00	0.13	0.02	1	0.03	0	0	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0	1	1	1	1	0
0	hje3788	0.00	0.06	0.23	0.04	1	0.42	0.57	0.45	2	0.35	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0
0	kykyky21	0.22	0.44	0.00	0.00	1	0.00	0.13	0.00	1	0.01	0	1	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	1	1	1	1	0
0	ddogjini	0.75	0.33	0.20	0.28	2	0.60	0.25	0.27	2	1.00	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	1	0	1	1	0	0
0	kinsoon	1.00	0.33	0.51	0.52	3	0.45	0.63	0.64	3	0.10	0	0	1	0	0	1	1	1	1	1	0	0	0	0	1	0	1	0	1	0	0	0
0	sky9807	0.54	0.33	0.17	0.16	1	0.00	0.13	0.23	1	0.17	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	1	1	0	1	0
0	ymlee	0.75	0.61	0.10	0.16	1	0.24	0.41	0.02	1	0.61	1	0	0	1	0	0	1	1	1	1	0	0	0	1	0	1	0	0	1	0	0	0
0	leebh31	0.75	0.08	0.10	0.08	1	0.91	0.13	0.26	2	0.28	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0
0	0551	0.27	0.17	0.13	0.28	2	0.17	0.38	0.26	2	0.94	0	0	1	0	0	1	1	0	1	1	0	0	0	0	1	0	1	0	1	0	1	0
0	hjlee90	0.70	1.00	0.57	0.56	3	0.00	0.50	0.36	2	0.58	1	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0
0	rladudtlf	0.86	0.33	1.00	0.68	3	0.00	1.00	1.00	4	0.88	1	0	0	0	0	1	1	1	1	1	0	0	0	1	0	0	1	0	1	1	0	0
0	ybyy	0.22	0.83	0.37	0.28	2	0.01	0.38	0.22	1	0.20	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0
0	Mekania	0.00	0.50	0.53	0.64	3	0.59	0.63	0.58	3	0.65	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0
0	sms52	1.00	0.33	0.43	0.20	1	0.00	0.38	0.55	3	0.30	0	0	1	0	0	1	1	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0
0	dkfkdjaak	0.00	0.61	0.17	0.16	1	0.00	0.00	0.10	1	0.05	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0
0	JUL77	0.38	0.28	0.33	0.40	2	0.35	0.41	0.46	2	0.97	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0
0	kmy7735	0.32	0.78	0.27	0.20	1	0.40	0.38	0.14	1	0.17	0	1	0	1	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1	1	1	0
0	sunnirvana	1.00	0.39	0.23	0.24	1	0.15	0.38	0.28	2	0.63	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0
